						
						
Energy	total	scatter	capture	fission		
1.00E-05	53.79877	51.28944	2.509336	0		
1.06E-05	52.22985	49.79543	2.434414	0		
1.13E-05	50.79458	48.42876	2.365825	0		
1.19E-05	49.47513	47.17241	2.302725	0		
1.25E-05	48.2568	46.01238	2.244419	0		
1.38E-05	46.07663	43.93666	2.139969	0		
1.50E-05	44.17773	42.12886	2.048865	0		
1.63E-05	42.50479	40.5363	1.968485	0		
1.75E-05	41.01659	39.11971	1.89688	0		
1.88E-05	39.68174	37.84918	1.83256	0		
2.00E-05	38.47579	36.70142	1.774369	0		
2.19E-05	36.86742	35.1708	1.696621	0		
2.38E-05	35.45653	33.82826	1.628272	0		
2.56E-05	34.20614	32.63857	1.56757	0		
2.75E-05	33.08831	31.57512	1.513187	0		
2.94E-05	32.08143	30.61733	1.464097	0		
3.13E-05	31.16853	29.74904	1.419495	0		
3.31E-05	30.33605	28.95732	1.378735	0		
3.50E-05	29.57301	28.23172	1.341296	0		
3.88E-05	28.22084	26.9461	1.274744	0		
4.25E-05	27.05675	25.83954	1.217207	0		
4.63E-05	26.04154	24.87472	1.166817	0		
5.00E-05	25.14655	24.02434	1.122209	0		
5.31E-05	24.47687	23.38816	1.088703	0		
5.63E-05	23.86591	22.80788	1.058029	0		
5.94E-05	23.30578	22.27597	1.029809	0		
6.25E-05	22.78997	21.78623	1.003734	0		
6.88E-05	21.87062	20.9136	0.9570228	0		
7.50E-05	21.07417	20.15789	0.9162796	0		
8.13E-05	20.37621	19.49587	0.8803329	0		
8.75E-05	19.75859	18.91028	0.8483099	0		
9.38E-05	19.2075	18.38796	0.8195452	0		
1.00E-04	18.71221	17.91869	0.7935212	0		
1.06E-04	18.26424	17.49441	0.7698286	0		
1.13E-04	17.85682	17.10868	0.7481389	0		
1.19E-04	17.48442	16.75623	0.7281848	0		
1.25E-04	17.14252	16.43278	0.7097468	0		
1.38E-04	16.53582	15.85911	0.6767169	0		
1.50E-04	16.01329	15.36538	0.647907	0		
1.63E-04	15.55799	14.9355	0.6224888	0		
1.75E-04	15.15735	14.5575	0.5998452	0		
1.88E-04	14.80182	14.22231	0.5795054	0		
2.00E-04	14.48399	13.92289	0.5611037	0		
