							
							
energy	total	scatter	capture	fission			
1.00E-05	2985.614	48.92564	2936.689	0			
1.06E-05	2896.514	47.50824	2849.006	0			
1.13E-05	2814.948	46.21187	2768.736	0			
1.19E-05	2739.909	45.02035	2694.889	0			
1.25E-05	2670.573	43.92036	2626.652	0			
1.38E-05	2546.367	41.95254	2504.414	0			
1.50E-05	2438.033	40.23931	2397.793	0			
1.63E-05	2342.455	38.73054	2303.724	0			
1.75E-05	2257.313	37.38894	2219.924	0			
1.88E-05	2180.835	36.18604	2144.649	0			
2.00E-05	2111.647	35.09976	2076.547	0			
2.19E-05	2019.21	33.65169	1985.558	0			
2.38E-05	1937.951	32.38217	1905.569	0			
2.56E-05	1865.785	31.25775	1834.528	0			
2.75E-05	1801.135	30.25312	1770.882	0			
2.94E-05	1742.781	29.34876	1713.432	0			
3.13E-05	1689.762	28.52929	1661.233	0			
3.31E-05	1641.314	27.78245	1613.532	0			
3.50E-05	1596.815	27.0983	1569.716	0			
3.88E-05	1517.716	25.88697	1491.829	0			
4.25E-05	1449.337	24.84534	1424.492	0			
4.63E-05	1389.458	23.93798	1365.52	0			
5.00E-05	1336.453	23.13898	1313.314	0			
5.31E-05	1296.642	22.54175	1274.101	0			
5.63E-05	1260.2	21.99741	1238.202	0			
5.94E-05	1226.675	21.49881	1205.177	0			
6.25E-05	1195.7	21.0401	1174.66	0			
6.88E-05	1140.216	20.22363	1119.992	0			
7.50E-05	1091.827	19.5176	1072.31	0			
8.13E-05	1049.14	18.9	1030.24	0			
8.75E-05	1011.117	18.35447	992.7625	0			
9.38E-05	976.9667	17.86856	959.0982	0			
1.00E-04	946.0739	17.43261	928.6413	0			
1.06E-04	917.952	17.039	900.913	0			
1.13E-04	892.2102	16.68162	875.5286	0			
1.19E-04	868.5311	16.35551	852.1756	0			
1.25E-04	846.6533	16.05662	830.5967	0			
1.38E-04	807.4678	15.52752	791.9403	0			
1.50E-04	773.2959	15.07328	758.2227	0			
1.63E-04	743.1531	14.67873	728.4744	0			
1.75E-04	716.3058	14.33261	701.9732	0			
1.88E-04	692.1947	14.02638	678.1684	0			
2.00E-04	670.385	13.75343	656.6315	0			
2.19E-04	641.2521	13.39532	627.8567	0			
2.38E-04	615.6477	13.0872	602.5605	0			
2.56E-04	592.9133	12.81925	580.094	0			
2.75E-04	572.5503	12.58407	559.9662	0			
2.94E-04	554.1737	12.37601	541.7977	0			
3.13E-04	537.4804	12.19064	525.2897	0			
3.31E-04	522.2284	12.02446	510.204	0			
3.50E-04	508.2219	11.87464	496.3473	0			
3.88E-04	483.3303	11.6154	471.7149	0			
4.25E-04	461.818	11.39898	450.419	0			
4.63E-04	442.9843	11.21569	431.7686	0			
5.00E-04	426.3163	11.05855	415.2577	0			
5.31E-04	413.7997	10.94379	402.8559	0			
5.63E-04	402.3438	10.8413	391.5025	0			
5.94E-04	391.8067	10.74922	381.0575	0			
6.25E-04	382.072	10.66605	371.4059	0			
6.88E-04	364.6379	10.52183	354.1161	0			
7.50E-04	349.4362	10.40113	339.035	0			
8.13E-04	336.028	10.29869	325.7293	0			
8.75E-04	324.0864	10.21069	313.8757	0			
9.38E-04	313.3624	10.1343	303.2281	0			
0.001	303.6622	10.06737	293.5948	0			
0.0010625	294.8328	10.00827	284.8245	0			
0.001125	286.7511	9.955698	276.7954	0			
0.0011875	279.3174	9.908636	269.4088	0			
0.00125	272.4495	9.866262	262.5832	0			
0.001375	260.1487	9.793037	250.3556	0			
0.0015	249.422	9.731987	239.69	0			
0.001625	239.96	9.680311	230.2797	0			
0.00175	231.5323	9.636003	221.8963	0			
0.001875	223.9633	9.59759	214.3657	0			
0.002	217.1164	9.563969	207.5525	0			
0.0021875	207.9699	9.520725	198.4492	0			
0.002375	199.9304	9.48429	190.4461	0			
0.0025625	192.7912	9.453171	183.3381	0			
0.00275	186.396	9.426279	176.9697	0			
0.0029375	180.6238	9.402805	171.221	0			
0.003125	175.3796	9.382135	165.9974	0			
0.0033125	170.5874	9.363791	161.2237	0			
0.0035	166.1859	9.347401	156.8385	0			
0.003875	158.3619	9.319345	149.0425	0			
0.00425	151.5979	9.2962	142.3017	0			
0.004625	145.6743	9.27677	136.3975	0			
0.005	140.4305	9.260221	131.1703	0			
0.0053125	136.4919	9.248189	127.2437	0			
0.005625	132.8863	9.237473	123.6489	0			
0.0059375	129.5693	9.227865	120.3415	0			
0.00625	126.5043	9.219199	117.2851	0			
0.006875	121.0132	9.204178	111.809	0			
0.0075	116.2229	9.191596	107.0313	0			
0.008125	111.9958	9.180891	102.8149	0			
0.00875	108.2298	9.171661	99.05813	0			
0.009375	104.8469	9.16361	95.6833	0			
0.01	101.7866	9.156518	92.63012	0			
0.010625	99.00094	9.150216	89.85072	0			
0.01125	96.45108	9.144571	87.30651	0			
0.011875	94.10541	9.13948	84.96593	0			
0.0125	91.9378	9.13486	82.80294	0			
0.01375	88.05344	9.126775	78.92666	0			
0.015	84.66287	9.119911	75.54296	0			
0.01625	81.6692	9.113985	72.55521	0			
0.0175	79.00082	9.108797	69.89202	0			
0.01875	76.60314	9.1042	67.49894	0			
0.02	74.4335	9.100081	65.33342	0			
0.021325	72.34497	9.096145	63.24882	0			
0.02265	70.44227	9.092576	61.34969	0			
0.023975	68.69941	9.089311	59.6101	0			
0.0253	67.0953	9.086305	58.009	0			
0.02684375	65.37844	9.083076	56.29536	0			
0.0283875	63.8039	9.080096	54.7238	0			
0.02993125	62.35298	9.077327	53.27565	0			
0.031475	61.0099	9.074737	51.93516	0			
0.0345625	58.59621	9.070002	49.52621	0			
0.03765	56.48116	9.065737	47.41542	0			
0.0407375	54.60815	9.061835	45.54631	0			
0.043825	52.93513	9.058221	43.8769	0			
0.0469125	51.42913	9.054837	42.37429	0			
0.05	50.06408	9.051642	41.01244	0			
0.053125	48.80498	9.048566	39.75642	0			
0.05625	47.65242	9.045624	38.60679	0			
0.059375	46.59268	9.042794	37.54989	0			
0.0625	45.61368	9.04006	36.57362	0			
0.06875	43.85591	9.034828	34.82109	0			
0.075	42.3159	9.029846	33.28605	0			
0.08125	40.95388	9.02506	31.92882	0			
0.0875	39.73868	9.020427	30.71826	0			
0.09375	38.64553	9.015919	29.62961	0			
0.1	37.65503	9.011513	28.64352	0			
0.10625	36.75192	9.007194	27.74473	0			
0.1125	35.92421	9.002946	26.92126	0			
0.11875	35.16291	8.998761	26.16415	0			
0.125	34.46021	8.99463	25.46558	0			
0.1375	33.19578	8.986502	24.20928	0			
0.15	32.08464	8.978523	23.10612	0			
0.1625	31.10093	8.970663	22.13027	0			
0.175	30.22191	8.962902	21.25901	0			
0.1875	29.43029	8.955227	20.47506	0			
0.2	28.71399	8.947627	19.76637	0			
0.21875	27.752	8.936345	18.81565	0			
0.2375	26.89958	8.925187	17.97439	0			
0.25625	26.13899	8.914139	17.22485	0			
0.275	25.45447	8.903189	16.55128	0			
0.29375	24.83377	8.892329	15.94145	0			
0.3125	24.26726	8.881552	15.38571	0			
0.33125	23.74723	8.870853	14.87638	0			
0.35	23.26745	8.860229	14.40722	0			
0.36875	22.82306	8.849676	13.97338	0			
0.3875	22.41188	8.839195	13.57269	0			
0.425	21.66547	8.818423	12.84704	0			
0.5	20.41516	8.777605	11.63755	0			
0.5625	19.55827	8.744286	10.81399	0			
0.625	18.82135	8.711553	10.1098	0			
0.75	17.61359	8.647774	8.965817	0			
0.875	16.65627	8.58615	8.070119	0			
1	15.86878	8.526526	7.342253	0			
1.125	15.20201	8.468764	6.733241	0			
1.25	14.62854	8.412802	6.21574	0			
1.5	13.68483	8.305935	5.378899	0			
1.75	12.93411	8.205377	4.728731	0			
2	12.31594	8.1105	4.205436	0			
2.1875	11.91654	8.042749	3.873787	0			
2.375	11.56337	7.977884	3.585484	0			
2.75	10.96023	7.85572	3.104509	0			
3.125	10.46178	7.742714	2.719069	0			
3.5	10.0423	7.637954	2.404348	0			
3.875	9.683542	7.540581	2.142962	0			
4.25	9.372704	7.449843	1.922861	0			
4.625	9.100485	7.365093	1.735392	0			
5	8.860307	7.285837	1.574469	0			
5.00005	8.860279464	0	1.574451179	0			
5.625	8.516112	0	1.351712	0			
6.25	8.226945	0	1.172345	0			
6.875	7.980781	0	1.025864	0			
7.5	7.768647	0	0.9046227	0			
8.125	7.583927	0	0.8031146	0			
8.75	7.421631	0	0.7172771	0			
9.375	7.277916	0	0.6440532	0			
10	7.149771	0	0.581102	0			
10.625	7.034804	0	0.5266044	0			
11.25	6.931089	0	0.4791278	0			
11.875	6.837057	0	0.4375311	0			
12.5	6.751571	0	0.4009822	0			
13.75	6.601489	0	0.3398144	0			
15	6.474005	0	0.2910197	0			
16.25	6.364507	0	0.2515937	0			
17.5	6.269443	0	0.2193258	0			
18.75	6.186137	0	0.1926162	0			
20	6.112503	0	0.1702725	0			
20.9375	6.06266	0	0.1558432	0			
21.875	6.016913	0	0.1431205	0			
23.75	5.935548	0	0.12172	0			
25.625	5.865349	0	0.1045532	0			
27.5	5.804208	0	0.0906174	0			
29.375	5.750464	0	0.07916843	0			
31.25	5.702842	0	0.06966199	0			
33.125	5.660341	0	0.06169295	0			
35	5.622168	0	0.05495513	0			
36.875	5.587688	0	0.04921384	0			
38.75	5.556379	0	0.04428694	0			
40.625	5.527818	0	0.04003149	0			
42.5	5.501653	0	0.03633407	0			
44.375	5.477588	0	0.03310388	0			
46.25	5.455375	0	0.03026761	0			
48.125	5.434803	0	0.02776548	0			
50	5.415706	0	0.0255508	0			
53.125	5.386705	0	0.02238467	0			
56.25	5.360736	0	0.01975026	0			
59.375	5.337346	0	0.01753991	0			
62.5	5.316152	0	0.01566978	0			
65.625	5.296848	0	0.01407547	0			
68.75	5.279181	0	0.01270688	0			
71.875	5.26294	0	0.01152464	0			
75	5.247949	0	0.01049746	0			
78.125	5.234061	0	0.009600262	0			
81.25	5.221157	0	0.00881373	0			
87.5	5.197849	0	0.007505428	0			
93.75	5.177319	0	0.006471331	0			
100	5.15905	0	0.005643475	0			
106.25	5.142636	0	0.004972887	0			
112.5	5.127758	0	0.004424246	0			
118.75	5.11416	0	0.003971629	0			
125	5.101636	0	0.003595713	0			
131.25	5.090015	0	0.003281918	0			
137.5	5.079156	0	0.003019117	0			
143.75	5.068937	0	0.002798762	0			
150	5.059256	0	0.002614256	0			
156.25	5.050021	0	0.002460512	0			
162.5	5.041152	0	0.002333838	0			
175	5.024209	0	0.002150196	0			
184.375	5.011951	0	0.002074088	0			
193.75	4.999751	0	0.002029534	0			
200	4.99157	0	0.00203126	0			
206.5201	4.982863	0	0.002059432	0			
213.0401	4.973868	0	0.002118597	0			
219.5601	4.964443	0	0.00221559	0			
226.0801	4.954406	0	0.002361825	0			
229.3401	4.949154	0	0.002453348	0			
232.6001	4.943511	0	0.002575512	0			
235.8601	4.937663	0	0.002714472	0			
239.1201	4.931409	0	0.00288656	0			
242.3801	4.924823	0	0.003087254	0			
245.6401	4.917641	0	0.003341237	0			
248.9001	4.909825	0	0.003655728	0			
252.1601	4.901208	0	0.004051921	0			
254.6957	4.89381	0	0.004436424	0			
257.2313	4.885662	0	0.004909951	0			
259.7669	4.87662	0	0.005498113	0			
261.0347	4.871851	0	0.005825484	0			
262.3024	4.866669	0	0.006211335	0			
264.838	4.855209	0	0.007150892	0			
266.1058	4.848848	0	0.007724679	0			
267.3735	4.841992	0	0.008385671	0			
268.6413	4.834573	0	0.009151906	0			
269.9091	4.826508	0	0.01004692	0			
271.1769	4.817685	0	0.01110242	0			
272.4446	4.807971	0	0.0123614	0			
273.6219	4.797995	0	0.01376567	0			
