
================
== Problem 3a ==
================
Number of histories: 10000000
Track time: 49368547


Estimator report: Leak out right
================================
PMF of # of particle crossing surface :
x	P(x)	       uncertainty
---	------------	------------
0	0.242562    	0.000155744
1	0.626501    	0.0002503
2	0.0499273   	7.06593e-05
3	0.0403899   	6.3553e-05
4	0.0146456   	3.82696e-05
5	0.0098466   	3.13793e-05
6	0.0053574   	2.31461e-05
7	0.0035296   	1.87872e-05
8	0.0022321   	1.49402e-05
9	0.0015048   	1.2267e-05
10	0.0010161   	1.00802e-05
11	0.0007098   	8.42496e-06
12	0.0004963   	7.04486e-06
13	0.0003599   	5.99917e-06
14	0.0002488   	4.98799e-06
15	0.0001832   	4.28019e-06
16	0.0001345   	3.66742e-06
17	9.26e-05    	3.04302e-06
18	6.67e-05    	2.58263e-06
19	4.98e-05    	2.23159e-06
20	3.68e-05    	1.91833e-06
21	2.57e-05    	1.60312e-06
22	1.92e-05    	1.38564e-06
23	1.55e-05    	1.24499e-06
24	1.27e-05    	1.12694e-06
25	7.6e-06     	8.7178e-07
26	7.7e-06     	8.77496e-07
27	4.9e-06     	7e-07
28	2.3e-06     	4.79583e-07
29	2.5e-06     	5e-07
30	3.1e-06     	5.56776e-07
31	1.9e-06     	4.3589e-07
32	1.5e-06     	3.87298e-07
33	9e-07       	3e-07
34	9e-07       	3e-07
35	6e-07       	2.44949e-07
36	8e-07       	2.82843e-07
37	2e-07       	1.41421e-07
38	3e-07       	1.73205e-07
39	2e-07       	1.41421e-07
40	1e-07       	1e-07
41	0           	0
42	2e-07       	1.41421e-07
43	0           	0
44	1e-07       	1e-07
45	1e-07       	1e-07
46	0           	0
47	0           	0
48	1e-07       	1e-07
49	0           	0
50	0           	0
51	0           	0
52	0           	0
53	0           	0
54	1e-07       	1e-07

Mean    : 1.08769
Variance: 1.70895
