PMF of # of particle crossing surface :
x	P(x)	+/-
---	-------	------------
0	0.249589	0.000157984
1	0.634402	0.000251873
2	0.0410064	6.40362e-05
3	0.0298362	5.46225e-05
4	0.0163372	4.04193e-05
5	0.0092903	3.048e-05
6	0.0058654	2.42186e-05
7	0.0038754	1.9686e-05
8	0.0026853	1.63869e-05
9	0.0018499	1.36011e-05
10	0.0013235	1.15043e-05
11	0.0009829	9.91413e-06
12	0.0007113	8.43386e-06
13	0.0005479	7.40203e-06
14	0.0003869	6.22013e-06
15	0.0002986	5.46443e-06
16	0.0002244	4.73709e-06
17	0.0001761	4.19643e-06
18	0.0001306	3.61386e-06
19	0.0001044	3.2311e-06
20	8.17e-05	2.85832e-06
21	6.02e-05	2.45357e-06
22	4.71e-05	2.17025e-06
23	3.84e-05	1.95959e-06
24	2.98e-05	1.72627e-06
25	2.53e-05	1.5906e-06
26	2e-05	1.41421e-06
27	1.8e-05	1.34164e-06
28	1.09e-05	1.04403e-06
29	8.9e-06	9.43398e-07
30	6.7e-06	8.18535e-07
31	5.3e-06	7.28011e-07
32	4.3e-06	6.55744e-07
33	3.1e-06	5.56776e-07
34	3.4e-06	5.83095e-07
35	2.7e-06	5.19615e-07
36	2.3e-06	4.79583e-07
37	1.1e-06	3.31662e-07
38	1.6e-06	4e-07
39	1.2e-06	3.4641e-07
40	1.2e-06	3.4641e-07
41	5e-07	2.23607e-07
42	6e-07	2.44949e-07
43	3e-07	1.73205e-07
44	5e-07	2.23607e-07
45	2e-07	1.41421e-07
46	4e-07	2e-07
47	4e-07	2e-07
48	0	0
49	3e-07	1.73205e-07
50	1e-07	1e-07
51	2e-07	1.41421e-07
52	1e-07	1e-07
53	0	0
54	1e-07	1e-07
55	0	0
56	0	0
57	0	0
58	1e-07	1e-07

Mean	1.0877
Variance	2.10055
