
================
== Problem 3b ==
================
Number of histories: 10000000
Track time: 49373765


Estimator report: Leak out right
================================
PMF of # of particle crossing surface :
x	P(x)	       uncertainty
---	------------	------------
0	0.249499    	0.000157955
1	0.634495    	0.000251892
2	0.0410227   	6.4049e-05
3	0.0298948   	5.46761e-05
4	0.0163018   	4.03755e-05
5	0.0092689   	3.04449e-05
6	0.0058852   	2.42594e-05
7	0.0038955   	1.9737e-05
8	0.0026644   	1.6323e-05
9	0.0018533   	1.36136e-05
10	0.0013187   	1.14835e-05
11	0.0009713   	9.85546e-06
12	0.0007118   	8.43682e-06
13	0.0005162   	7.18471e-06
14	0.0003974   	6.30397e-06
15	0.0002967   	5.44702e-06
16	0.0002206   	4.69681e-06
17	0.0001725   	4.15331e-06
18	0.000125    	3.53553e-06
19	0.0001034   	3.21559e-06
20	8.22e-05    	2.86705e-06
21	6.53e-05    	2.55539e-06
22	4.87e-05    	2.20681e-06
23	3.73e-05    	1.93132e-06
24	3.13e-05    	1.76918e-06
25	2.53e-05    	1.5906e-06
26	1.89e-05    	1.37477e-06
27	1.71e-05    	1.30767e-06
28	1.26e-05    	1.1225e-06
29	7.8e-06     	8.83176e-07
30	8.8e-06     	9.38083e-07
31	5.7e-06     	7.54983e-07
32	6.1e-06     	7.81025e-07
33	3.3e-06     	5.74456e-07
34	4e-06       	6.32456e-07
35	2.7e-06     	5.19615e-07
36	1.3e-06     	3.60555e-07
37	2.1e-06     	4.58258e-07
38	1.3e-06     	3.60555e-07
39	9e-07       	3e-07
40	1e-06       	3.16228e-07
41	5e-07       	2.23607e-07
42	8e-07       	2.82843e-07
43	4e-07       	2e-07
44	0           	0
45	1e-07       	1e-07
46	2e-07       	1.41421e-07
47	1e-07       	1e-07
48	1e-07       	1e-07
49	0           	0
50	0           	0
51	0           	0
52	0           	0
53	2e-07       	1.41421e-07
54	1e-07       	1e-07
55	0           	0
56	1e-07       	1e-07

Mean    : 1.08737
Variance: 2.09546
