
Bin tallies,
bin#	lower(sec)	upper(sec)	Flux	Scat. Rate	
----	----------	----------	------------	------------	
1	0	5e-09	0	0	
2	5e-09	1e-08	0	0	
3	1e-08	1.5e-08	0	0	
4	1.5e-08	2e-08	0.00138469	0.000215893	
5	2e-08	2.5e-08	0.000331164	5.93115e-05	
6	2.5e-08	3e-08	0.000182817	3.58631e-05	
7	3e-08	3.5e-08	0.000115387	2.48932e-05	
8	3.5e-08	4e-08	7.74434e-05	1.82636e-05	
9	4e-08	4.5e-08	5.54488e-05	1.42306e-05	
10	4.5e-08	5e-08	4.27587e-05	1.18131e-05	
11	5e-08	5.5e-08	3.24383e-05	9.76356e-06	
12	5.5e-08	6e-08	2.34577e-05	7.83175e-06	
13	6e-08	6.5e-08	1.74472e-05	6.45795e-06	
14	6.5e-08	7e-08	1.36897e-05	5.52116e-06	
15	7e-08	7.5e-08	1.13328e-05	4.93774e-06	
16	7.5e-08	8e-08	9.86241e-06	4.56999e-06	
17	8e-08	8.5e-08	8.11318e-06	4.11514e-06	
18	8.5e-08	9e-08	6.53603e-06	3.71158e-06	
19	9e-08	9.5e-08	5.32797e-06	3.35918e-06	
20	9.5e-08	1e-07	4.33167e-06	3.04615e-06	
