Estimator report: Detector right
================================
Total tallies,
  Flux:
  -> Mean     =	0.000371651	+/-	2.60744e-06
  -> Variance =	0.000679875
  F.O.M.:	3.99163e-05

  Scat. Rate:
  -> Mean     =	6.78701e-05	+/-	5.28405e-07
  -> Variance =	2.79212e-05
  F.O.M.:	3.2414e-05


Bin tallies,
bin#	lower(sec)	upper(sec)	Flux		Scat. Rate		
----	----------	----------	------------		------------		
1	0	5e-09	0	0	0	0	
2	5e-09	1e-08	0	0	0	0	
3	1e-08	1.5e-08	0	0	0	0	
4	1.5e-08	2e-08	0.000143012	1.55634e-06	2.19201e-05	2.37971e-07	
5	2e-08	2.5e-08	8.68415e-05	1.16198e-06	1.43389e-05	1.91658e-07	
6	2.5e-08	3e-08	4.60857e-05	8.46931e-07	8.28982e-06	1.5157e-07	
7	3e-08	3.5e-08	2.69333e-05	6.28512e-07	5.23706e-06	1.21358e-07	
8	3.5e-08	4e-08	1.79351e-05	5.08592e-07	3.75496e-06	1.05435e-07	
9	4e-08	4.5e-08	1.23776e-05	4.16208e-07	2.78987e-06	9.24601e-08	
10	4.5e-08	5e-08	9.0231e-06	3.39797e-07	2.16747e-06	8.0439e-08	
11	5e-08	5.5e-08	6.25225e-06	2.83558e-07	1.5991e-06	7.11093e-08	
12	5.5e-08	6e-08	5.20797e-06	2.52247e-07	1.41809e-06	6.70477e-08	
13	6e-08	6.5e-08	4.30035e-06	2.28343e-07	1.25968e-06	6.48929e-08	
14	6.5e-08	7e-08	3.0418e-06	1.85054e-07	9.51647e-07	5.54825e-08	
15	7e-08	7.5e-08	2.18843e-06	1.54404e-07	7.22846e-07	4.85383e-08	
16	7.5e-08	8e-08	2.06801e-06	1.50622e-07	7.05599e-07	4.90934e-08	
17	8e-08	8.5e-08	1.97004e-06	1.42463e-07	7.31933e-07	5.00954e-08	
18	8.5e-08	9e-08	1.4926e-06	1.22028e-07	6.01539e-07	4.55168e-08	
19	9e-08	9.5e-08	1.13932e-06	1.02726e-07	4.98446e-07	4.10317e-08	
20	9.5e-08	1e-07	1.17086e-06	1.02034e-07	5.22916e-07	4.19506e-08	
