Estimator report: Detector left
===============================
Total tallies,
  Flux:
  -> Mean     =	0.000635516	+/-	3.34091e-06
  -> Variance =	0.00111617
  F.O.M.:	6.74513e-05

  Scat. Rate:
  -> Mean     =	0.000105089	+/-	6.12788e-07
  -> Variance =	3.75509e-05
  F.O.M.:	5.48233e-05


Bin tallies,
bin#	lower(sec)	upper(sec)	Flux		Scat. Rate		
----	----------	----------	------------		------------		
1	0	5e-09	0	0	0	0	
2	5e-09	1e-08	0	0	0	0	
3	1e-08	1.5e-08	0	0	0	0	
4	1.5e-08	2e-08	0.000396423	2.58867e-06	6.11412e-05	3.99195e-07	
5	2e-08	2.5e-08	0.000123932	1.39289e-06	2.07275e-05	2.32166e-07	
6	2.5e-08	3e-08	5.57612e-05	9.10305e-07	9.99835e-06	1.6208e-07	
7	3e-08	3.5e-08	2.7038e-05	6.25933e-07	5.17306e-06	1.18684e-07	
8	3.5e-08	4e-08	1.37076e-05	4.41345e-07	2.81643e-06	8.91308e-08	
9	4e-08	4.5e-08	7.27974e-06	3.1553e-07	1.62086e-06	6.84048e-08	
10	4.5e-08	5e-08	4.02634e-06	2.37782e-07	9.5005e-07	5.39714e-08	
11	5e-08	5.5e-08	2.62069e-06	1.84515e-07	6.78811e-07	4.55257e-08	
12	5.5e-08	6e-08	1.57643e-06	1.42928e-07	4.58374e-07	3.83099e-08	
13	6e-08	6.5e-08	1.23996e-06	1.29272e-07	3.8728e-07	3.61243e-08	
14	6.5e-08	7e-08	4.72213e-07	7.5011e-08	1.99723e-07	2.56098e-08	
15	7e-08	7.5e-08	4.31796e-07	7.19969e-08	1.87245e-07	2.49494e-08	
16	7.5e-08	8e-08	3.51726e-07	6.18692e-08	1.71964e-07	2.37009e-08	
17	8e-08	8.5e-08	3.3192e-07	6.56443e-08	1.697e-07	2.47006e-08	
18	8.5e-08	9e-08	1.36832e-07	3.12368e-08	1.09303e-07	1.83487e-08	
19	9e-08	9.5e-08	1.02173e-07	3.38495e-08	9.31361e-08	1.81137e-08	
20	9.5e-08	1e-07	6.76226e-08	2.52723e-08	7.79948e-08	1.62635e-08	
