Estimator report: Detector right
================================
Total tallies,
  Flux:
  -> Mean     =	0.000365463	+/-	2.5873e-06
  -> Variance =	0.000669412
  F.O.M.:	3.71931e-05

  Scat. Rate:
  -> Mean     =	6.12772e-05	+/-	4.7772e-07
  -> Variance =	2.28216e-05
  F.O.M.:	3.06705e-05


Bin tallies,
bin#	lower(sec)	upper(sec)	Flux		Scat. Rate		
----	----------	----------	------------		------------		
1	0	5e-09	0	0	0	0	
2	5e-09	1e-08	0	0	0	0	
3	1e-08	1.5e-08	0	0	0	0	
4	1.5e-08	2e-08	0.000155535	1.62208e-06	2.38258e-05	2.47988e-07	
5	2e-08	2.5e-08	0.000107275	1.29255e-06	1.74146e-05	2.09587e-07	
6	2.5e-08	3e-08	4.97567e-05	8.84152e-07	8.69583e-06	1.54001e-07	
7	3e-08	3.5e-08	2.32161e-05	5.86717e-07	4.37744e-06	1.09495e-07	
8	3.5e-08	4e-08	1.21381e-05	4.24554e-07	2.4574e-06	8.49279e-08	
9	4e-08	4.5e-08	6.69432e-06	3.11643e-07	1.43906e-06	6.54229e-08	
10	4.5e-08	5e-08	3.97393e-06	2.32762e-07	9.27169e-07	5.24839e-08	
11	5e-08	5.5e-08	2.34196e-06	1.78584e-07	5.86906e-07	4.26769e-08	
12	5.5e-08	6e-08	1.61329e-06	1.47227e-07	4.26444e-07	3.69674e-08	
13	6e-08	6.5e-08	8.95155e-07	1.03093e-07	2.58454e-07	2.7958e-08	
14	6.5e-08	7e-08	7.31796e-07	9.70927e-08	2.16376e-07	2.64302e-08	
15	7e-08	7.5e-08	4.48114e-07	7.23318e-08	1.45084e-07	2.14554e-08	
16	7.5e-08	8e-08	3.51183e-07	6.60701e-08	1.27706e-07	2.10631e-08	
17	8e-08	8.5e-08	2.17123e-07	4.54386e-08	9.51479e-08	1.71729e-08	
18	8.5e-08	9e-08	1.41836e-07	3.94182e-08	7.40253e-08	1.58171e-08	
19	9e-08	9.5e-08	3.44345e-08	1.37974e-08	3.92513e-08	1.09075e-08	
20	9.5e-08	1e-07	7.27265e-08	2.87629e-08	4.83614e-08	1.2899e-08	
