Estimator report: Detector left
===============================
Total tallies,
  Flux:
  -> Mean     =	0.000639693	+/-	3.34907e-06
  -> Variance =	0.00112163
  F.O.M.:	6.69968e-05

  Scat. Rate:
  -> Mean     =	0.00010259	+/-	6.06247e-07
  -> Variance =	3.67535e-05
  F.O.M.:	5.25862e-05


Bin tallies,
bin#	lower(sec)	upper(sec)	Flux		Scat. Rate		
----	----------	----------	------------		------------		
1	0	5e-09	0	0	0	0	
2	5e-09	1e-08	0	0	0	0	
3	1e-08	1.5e-08	0	0	0	0	
4	1.5e-08	2e-08	0.000436218	2.70978e-06	6.71764e-05	4.173e-07	
5	2e-08	2.5e-08	0.00013357	1.43292e-06	2.18927e-05	2.33984e-07	
6	2.5e-08	3e-08	4.46353e-05	8.29681e-07	7.74347e-06	1.43015e-07	
7	3e-08	3.5e-08	1.53225e-05	4.81916e-07	2.83865e-06	8.77833e-08	
8	3.5e-08	4e-08	5.66657e-06	2.88998e-07	1.15726e-06	5.70003e-08	
9	4e-08	4.5e-08	2.19861e-06	1.78607e-07	5.1703e-07	3.87992e-08	
10	4.5e-08	5e-08	7.82963e-07	1.03598e-07	2.36643e-07	2.66117e-08	
11	5e-08	5.5e-08	5.71874e-07	9.05903e-08	1.88933e-07	2.44383e-08	
12	5.5e-08	6e-08	3.50529e-07	7.06927e-08	1.37293e-07	2.11871e-08	
13	6e-08	6.5e-08	1.94514e-07	5.15776e-08	1.05861e-07	1.88669e-08	
14	6.5e-08	7e-08	1.0951e-07	3.62433e-08	8.00726e-08	1.60686e-08	
15	7e-08	7.5e-08	3.82942e-08	2.90791e-08	6.0087e-08	1.48453e-08	
16	7.5e-08	8e-08	9.19901e-09	7.13447e-09	5.37415e-08	1.35439e-08	
17	8e-08	8.5e-08	1.43474e-09	5.57033e-10	5.2012e-08	1.34295e-08	
18	8.5e-08	9e-08	9.7439e-09	8.61987e-09	5.41387e-08	1.35939e-08	
19	9e-08	9.5e-08	1.1945e-08	1.09523e-08	5.51978e-08	1.38014e-08	
20	9.5e-08	1e-07	7.10532e-10	2.83447e-10	5.0076e-08	1.30531e-08	
