Estimator report: Detector right
================================
Total tallies,
  Flux:
  -> Mean     =	0.000361827	+/-	2.56822e-06
  -> Variance =	0.000659576
  F.O.M.:	3.645e-05

  Scat. Rate:
  -> Mean     =	5.8388e-05	+/-	4.49937e-07
  -> Variance =	2.02443e-05
  F.O.M.:	3.09246e-05


Bin tallies,
bin#	lower(sec)	upper(sec)	Flux		Scat. Rate		
----	----------	----------	------------		------------		
1	0	5e-09	0	0	0	0	
2	5e-09	1e-08	0	0	0	0	
3	1e-08	1.5e-08	0	0	0	0	
4	1.5e-08	2e-08	0.00016858	1.67602e-06	2.58172e-05	2.5623e-07	
5	2e-08	2.5e-08	0.000124702	1.39861e-06	2.00233e-05	2.24178e-07	
6	2.5e-08	3e-08	4.33393e-05	8.23348e-07	7.42627e-06	1.40222e-07	
7	3e-08	3.5e-08	1.54603e-05	4.86413e-07	2.79844e-06	8.69325e-08	
8	3.5e-08	4e-08	5.50556e-06	2.81141e-07	1.08771e-06	5.4359e-08	
9	4e-08	4.5e-08	2.3896e-06	1.8704e-07	5.05335e-07	3.80703e-08	
10	4.5e-08	5e-08	9.08276e-07	1.15391e-07	2.26079e-07	2.62649e-08	
11	5e-08	5.5e-08	4.22416e-07	7.67239e-08	1.19008e-07	1.88188e-08	
12	5.5e-08	6e-08	2.58074e-07	5.79263e-08	8.47575e-08	1.61317e-08	
13	6e-08	6.5e-08	1.52497e-07	3.89775e-08	6.37994e-08	1.34023e-08	
14	6.5e-08	7e-08	5.08377e-08	2.08208e-08	3.91015e-08	1.09546e-08	
15	7e-08	7.5e-08	1.16006e-08	5.93358e-09	2.66625e-08	9.2633e-09	
16	7.5e-08	8e-08	2.82088e-08	1.88047e-08	2.69138e-08	9.52943e-09	
17	8e-08	8.5e-08	1.04067e-08	7.67002e-09	2.31155e-08	8.74902e-09	
18	8.5e-08	9e-08	2.89232e-10	1.4812e-10	1.75005e-08	7.7448e-09	
19	9e-08	9.5e-08	1.94736e-10	1.30554e-10	1.7309e-08	7.74081e-09	
20	9.5e-08	1e-07	1.53046e-09	1.34591e-09	1.76942e-08	7.75024e-09	
