
=================
== PulseHeight ==
=================
Number of histories: 100000000
Track time: 280148170
Estimator report: pulse height tally for detector region 
=========================================================== 
Lower Bin [eV]    Upper Bin [eV]    Score/NPS         Rel. Uncertainty 
-------------     -------------     ---------         ---------------- 
0                 5000              0.00424814        0.001531          
5000              10000             0.00422145        0.00153586        
10000             15000             0.00421438        0.00153715        
15000             20000             0.00411602        0.00155548        
20000             25000             0.00368196        0.00164498        
25000             30000             0.00330387        0.00173688        
30000             35000             0.00300088        0.00182273        
35000             40000             0.00276663        0.00189855        
40000             45000             0.00255905        0.00197426        
45000             50000             0.00240145        0.00203817        
50000             55000             0.00224253        0.00210932        
55000             60000             0.0021083         0.00217558        
60000             65000             0.00198958        0.00223968        
65000             70000             0.00187507        0.00230719        
70000             75000             0.00177396        0.00237215        
75000             80000             0.0016797         0.00243792        
80000             85000             0.00159506        0.00250187        
85000             90000             0.00150206        0.00257828        
90000             95000             0.00142535        0.00264685        
95000             100000            0.00135236        0.00271744        
100000            105000            0.00128142        0.00279175        
105000            110000            0.00121153        0.00287124        
110000            115000            0.00113979        0.00296033        
115000            120000            0.00107322        0.00305086        
120000            125000            0.00100916        0.0031463         
125000            130000            0.00094814        0.00324607        
130000            135000            0.00088621        0.00335768        
135000            140000            0.00082645        0.00347706        
140000            145000            0.0007669         0.00360964        
145000            150000            0.00070881        0.00375475        
150000            155000            0.00066099        0.00388829        
155000            160000            0.00070427        0.00376684        
160000            165000            0.00080016        0.00353377        
165000            170000            0.00089041        0.00334974        
170000            175000            0.00098074        0.00319161        
175000            180000            0.00108247        0.00303778        
180000            185000            0.00117056        0.00292112        
185000            190000            0.0012737         0.0028002         
190000            195000            0.00138121        0.00268887        
195000            200000            0.00147929        0.00259808        
200000            205000            0.00159302        0.00250347        
205000            210000            0.00168598        0.00243337        
210000            215000            0.00181237        0.00234684        
215000            220000            0.00192908        0.0022746         
220000            225000            0.00205103        0.00220581        
225000            230000            0.00219175        0.00213367        
230000            235000            0.00233352        0.0020677         
235000            240000            0.00250508        0.00199547        
240000            245000            0.00267712        0.00193012        
245000            250000            0.00287334        0.00186287        
250000            255000            0.00309823        0.00179378        
255000            260000            0.00336744        0.00172035        
260000            265000            0.00367853        0.00164575        
265000            270000            0.00406302        0.00156564        
270000            275000            0.0044186         0.00150105        
275000            280000            0.00448833        0.0014893         
280000            285000            0.0038238         0.00161406        
285000            290000            0.00085488        0.00341871        
290000            295000            0.00084613        0.00343635        
295000            300000            0.00083261        0.00346416        
300000            305000            0.00082027        0.00349014        
305000            310000            0.00080558        0.00352185        
310000            315000            0.00079824        0.00353802        
315000            320000            0.00078297        0.00357238        
320000            325000            0.00077414        0.00359271        
325000            330000            0.0007591         0.00362815        
330000            335000            0.00074551        0.0036611         
335000            340000            0.00073486        0.00368755        
340000            345000            0.00071582        0.00373631        
345000            350000            0.00070227        0.00377221        
350000            355000            0.00069311        0.00379707        
355000            360000            0.00067599        0.00384488        
360000            365000            0.00066465        0.00387757        
365000            370000            0.00065236        0.00391394        
370000            375000            0.00063308        0.00397313        
375000            380000            0.00062407        0.00400173        
380000            385000            0.00061408        0.00403417        
385000            390000            0.00059936        0.00408344        
390000            395000            0.00058857        0.00412072        
395000            400000            0.00057497        0.0041692         
400000            405000            0.00056921        0.00419025        
405000            410000            0.00056388        0.00421002        
410000            415000            0.0005617         0.00421819        
415000            420000            0.0005454         0.00428079        
420000            425000            0.00054111        0.00429774        
425000            430000            0.00053545        0.0043204         
430000            435000            0.00053577        0.00431911        
435000            440000            0.00053057        0.00434024        
440000            445000            0.00052948        0.0043447         
445000            450000            0.00053113        0.00433795        
450000            455000            0.00053044        0.00434077        
455000            460000            0.00052721        0.00435405        
460000            465000            0.00052445        0.0043655         
465000            470000            0.00052098        0.00438002        
470000            475000            0.00051711        0.00439639        
475000            480000            0.00050557        0.00444631        
480000            485000            0.0004893         0.00451966        
485000            490000            0.00047185        0.00460252        
490000            495000            0.00046954        0.00461383        
495000            500000            0.00046976        0.00461275        
500000            505000            0.00046578        0.00463243        
505000            510000            0.00045703        0.00467658        
510000            515000            0.00045975        0.00466272        
515000            520000            0.00045789        0.00467218        
520000            525000            0.0004572         0.00467571        
525000            530000            0.00045397        0.00469232        
530000            535000            0.00045121        0.00470666        
535000            540000            0.00044708        0.00472836        
540000            545000            0.00044565        0.00473594        
545000            550000            0.00044261        0.00475218        
550000            555000            0.00044603        0.00473392        
555000            560000            0.00043854        0.00477419        
560000            565000            0.00043749        0.00477992        
565000            570000            0.00043514        0.00479282        
570000            575000            0.00043728        0.00478107        
575000            580000            0.00043402        0.004799          
580000            585000            0.00043422        0.0047979         
585000            590000            0.00042979        0.00482257        
590000            595000            0.00042926        0.00482555        
595000            600000            0.00042767        0.00483451        
600000            605000            0.0004254         0.0048474         
605000            610000            0.00042375        0.00485683        
610000            615000            0.00042477        0.00485099        
615000            620000            0.00042129        0.004871          
620000            625000            0.0004179         0.00489072        
625000            630000            0.00041799        0.0048902         
630000            635000            0.00041767        0.00489207        
635000            640000            0.00041827        0.00488856        
640000            645000            0.00041259        0.00492211        
645000            650000            0.00041433        0.00491176        
650000            655000            0.0004133         0.00491788        
655000            660000            0.00041358        0.00491621        
660000            665000            0.00041291        0.0049202         
665000            670000            0.00041217        0.00492462        
670000            675000            0.00041135        0.00492952        
675000            680000            0.00041442        0.00491122        
680000            685000            0.00040876        0.00494512        
685000            690000            0.00041106        0.00493126        
690000            695000            0.00040836        0.00494754        
695000            700000            0.0004056         0.00496436        
700000            705000            0.00040532        0.00496607        
705000            710000            0.00040658        0.00495837        
710000            715000            0.00040402        0.00497406        
