PMF of # of particle crossing surface px2 :
x	P(x)	+/-
---	-------	------------
0	0.242488	0.00015572
1	0.626543	0.000250308
2	0.0499929	7.07057e-05
3	0.0404025	6.3563e-05
4	0.0146471	3.82715e-05
5	0.0098287	3.13508e-05
6	0.0053621	2.31562e-05
7	0.0035352	1.88021e-05
8	0.0022097	1.48651e-05
9	0.0015107	1.22911e-05
10	0.0010076	1.00379e-05
11	0.0007026	8.38212e-06
12	0.000501	7.07814e-06
13	0.0003443	5.86771e-06
14	0.0002472	4.97192e-06
15	0.0001759	4.19404e-06
16	0.0001289	3.59026e-06
17	9.69e-05	3.11288e-06
18	6.81e-05	2.6096e-06
19	5.39e-05	2.32164e-06
20	3.72e-05	1.92873e-06
21	3.3e-05	1.81659e-06
22	1.84e-05	1.35647e-06
23	1.75e-05	1.32288e-06
24	1.16e-05	1.07703e-06
25	8.3e-06	9.11043e-07
26	6.4e-06	8e-07
27	5.6e-06	7.48331e-07
28	3.4e-06	5.83095e-07
29	2.9e-06	5.38516e-07
30	2.7e-06	5.19615e-07
31	1.3e-06	3.60555e-07
32	1.5e-06	3.87298e-07
33	1.4e-06	3.74166e-07
34	5e-07	2.23607e-07
35	5e-07	2.23607e-07
36	5e-07	2.23607e-07
37	3e-07	1.73205e-07
38	3e-07	1.73205e-07
39	2e-07	1.41421e-07
40	3e-07	1.73205e-07
41	1e-07	1e-07
42	1e-07	1e-07
43	1e-07	1e-07
44	1e-07	1e-07
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	1e-07	1e-07

Mean	1.08757
Variance	1.70826
