Energy	total	scatter	capture	fission
1.00E-05	34.7814	33.63246	1.148937	0
1.06E-05	33.76793	32.65329	1.114633	0
1.13E-05	32.84082	31.75759	1.083228	0
1.19E-05	31.98855	30.93421	1.054337	0
1.25E-05	31.20161	30.17397	1.027641	0
1.38E-05	29.79345	28.81364	0.9798168	0
1.50E-05	28.56704	27.62894	0.9381032	0
1.63E-05	27.48662	26.58532	0.9013004	0
1.75E-05	26.52556	25.65705	0.8685148	0
1.88E-05	25.66357	24.82451	0.839065	0
2.00E-05	24.88487	24.07245	0.8124212	0
2.19E-05	23.84638	23.06955	0.7768232	0
2.38E-05	22.93545	22.18993	0.7455288	0
2.56E-05	22.12823	21.41049	0.7177353	0
2.75E-05	21.40663	20.71379	0.6928351	0
2.94E-05	20.75671	20.08635	0.6703588	0
3.13E-05	20.1675	19.51756	0.649937	0
3.31E-05	19.63023	18.99896	0.6312747	0
3.50E-05	19.13782	18.52368	0.6141328	0
3.88E-05	18.26531	17.68165	0.5836607	0
4.25E-05	17.51428	16.95696	0.5573165	0
4.63E-05	16.8594	16.32515	0.534245	0
5.00E-05	16.28215	15.76833	0.5138204	0
5.31E-05	15.85028	15.3518	0.498479	0
5.63E-05	15.45634	14.9719	0.4844346	0
5.94E-05	15.09521	14.62369	0.471514	0
6.25E-05	14.76269	14.30312	0.459575	0
6.88E-05	14.17015	13.73196	0.4381876	0
7.50E-05	13.65693	13.2374	0.4195327	0
8.13E-05	13.20729	12.80422	0.403074	0
8.75E-05	12.80951	12.4211	0.3884119	0
9.38E-05	12.45466	12.07941	0.3752415	0
1.00E-04	12.13581	11.77248	0.3633261	0
1.06E-04	11.84749	11.49501	0.3524781	0
1.13E-04	11.58533	11.24278	0.3425471	0
1.19E-04	11.34576	11.01235	0.3334109	0
1.25E-04	11.12587	10.8009	0.3249688	0
1.38E-04	10.73579	10.42594	0.3098456	0
1.50E-04	10.39997	10.10332	0.2966546	0
1.63E-04	10.10749	9.822478	0.2850165	0
1.75E-04	9.850242	9.575594	0.2746488	0
1.88E-04	9.622051	9.356715	0.265336	0
2.00E-04	9.418149	9.161238	0.2569105	0
2.19E-04	9.149814	8.90416	0.2456535	0
2.38E-04	8.918127	8.682369	0.2357573	0
2.56E-04	8.715956	8.488988	0.2269683	0
2.75E-04	8.537936	8.318842	0.2190942	0
2.94E-04	8.379944	8.167957	0.2119865	0
3.13E-04	8.238757	8.033229	0.2055286	0
3.31E-04	8.111816	7.912189	0.1996271	0
3.50E-04	7.997061	7.802855	0.1942063	0
3.88E-04	7.7977	7.61313	0.1845703	0
4.25E-04	7.630449	7.45421	0.1762395	0
4.63E-04	7.488148	7.319205	0.1689437	0
5.00E-04	7.365622	7.203137	0.162485	0
5.31E-04	7.275826	7.118192	0.1576336	0
5.63E-04	7.195372	7.042179	0.1531924	0
5.94E-04	7.122883	6.973776	0.1491066	0
6.25E-04	7.05724	6.911909	0.1453312	0
6.88E-04	6.94297	6.804402	0.138568	0
7.50E-04	6.846904	6.714235	0.1326689	0
8.13E-04	6.765035	6.637571	0.1274644	0
8.75E-04	6.694446	6.571618	0.1228279	0
9.38E-04	6.632964	6.514301	0.1186632	0
0.001	6.578938	6.464043	0.1148953	0
0.0010625	6.531091	6.419626	0.1114649	0
0.001125	6.488421	6.380097	0.1083246	0
0.0011875	6.45013	6.344694	0.1054356	0
0.00125	6.415576	6.31281	0.102766	0
0.001375	6.355678	6.257694	0.09798386	0
0.0015	6.305546	6.211734	0.0938127	0
0.001625	6.262961	6.172828	0.0901326	0
0.00175	6.226327	6.139473	0.08685423	0
0.001875	6.19447	6.110561	0.08390943	0
0.002	6.166506	6.08526	0.08124523	0
0.0021875	6.130415	6.05273	0.0776857	0
0.002375	6.099891	6.025334	0.07455651	0
0.0025625	6.073725	6.001947	0.07177739	0
0.00275	6.051037	5.98175	0.06928759	0
0.0029375	6.03117	5.96413	0.06704015	0
0.003125	6.013623	5.948625	0.06499814	0
0.0033125	5.998007	5.934875	0.06313203	0
0.0035	5.984016	5.922598	0.06141795	0
0.003875	5.95998	5.901609	0.05837088	0
0.00425	5.94006	5.884324	0.05573653	0
0.004625	5.923271	5.869842	0.05342942	0
0.005	5.908919	5.857532	0.05138699	0
0.0053125	5.898454	5.848601	0.04985289	0
0.005625	5.889111	5.840662	0.04844848	0
0.0059375	5.880716	5.83356	0.04715646	0
0.00625	5.87313	5.827167	0.04596259	0
0.006875	5.859949	5.816125	0.04382382	0
0.0075	5.848882	5.806924	0.04195819	0
0.008125	5.83945	5.799138	0.04031213	0
0.00875	5.83131	5.792464	0.03884576	0
0.009375	5.824209	5.78668	0.03752871	0
0.01	5.817957	5.781619	0.03633734	0
0.010625	5.812407	5.777154	0.03525291	0
0.01125	5.807445	5.773185	0.03426033	0
0.011875	5.80298	5.769633	0.0333473	0
0.0125	5.79894	5.766437	0.03250366	0
0.01375	5.791908	5.760915	0.0309922	0
0.015	5.785988	5.756314	0.02967339	0
0.01625	5.78093	5.752421	0.02850939	0
0.0175	5.776556	5.749084	0.02747221	0
0.01875	5.772732	5.746192	0.02654052	0
0.02	5.769359	5.743661	0.02569772	0
0.021325	5.766189	5.741302	0.02488679	0
0.02265	5.763368	5.739219	0.02414844	0
0.023975	5.760839	5.737367	0.02347258	0
0.0253	5.758559	5.735708	0.02285092	0
0.02684375	5.756168	5.733982	0.02218586	0
0.0283875	5.75402	5.732444	0.02157594	0
0.031475	5.750312	5.729819	0.02049295	0
0.0345625	5.747221	5.727664	0.01955711	0
0.03765	5.7446	5.725862	0.01873811	0
0.0407375	5.742347	5.724333	0.01801397	0
0.043825	5.740387	5.723019	0.01736792	0
0.0469125	5.738665	5.721878	0.01678692	0
0.05	5.737139	5.720878	0.01626078	0
0.053125	5.73576	5.719984	0.01577594	0
0.05625	5.734521	5.719189	0.01533253	0
0.059375	5.733403	5.718478	0.01492511	0
0.0625	5.732386	5.717837	0.01454897	0
0.06875	5.730606	5.716731	0.01387463	0
0.075	5.729094	5.715809	0.01328508	0
0.08125	5.727793	5.715029	0.01276455	0
0.0875	5.72666	5.714359	0.01230094	0
0.09375	5.725664	5.713779	0.01188464	0
0.1	5.724779	5.713271	0.01150812	0
0.10625	5.723988	5.712822	0.01116545	0
0.1125	5.723275	5.712423	0.010852	0
0.11875	5.72263	5.712066	0.01056423	0
0.125	5.722044	5.711745	0.01029894	0
0.1375	5.721012	5.711189	0.009822994	0
0.15	5.720131	5.710724	0.009406329	0
0.1625	5.71937	5.710331	0.009038701	0
0.175	5.718705	5.709993	0.008711374	0
0.1875	5.718118	5.7097	0.008417682	0
0.2	5.717596	5.709443	0.008152812	0
0.21875	5.716911	5.709112	0.007798658	0
0.2375	5.716318	5.708832	0.00748648	0
0.25625	5.715801	5.708591	0.007209345	0
0.275	5.715344	5.708383	0.006961204	0
0.29375	5.714938	5.708201	0.006737337	0
0.3125	5.714574	5.70804	0.006534038	0
0.33125	5.714245	5.707896	0.0063485	0
0.35	5.713947	5.707768	0.006179259	0
0.3875	5.713423	5.707546	0.005877415	0
0.425	5.712976	5.707361	0.005615292	0
0.5	5.712253	5.707069	0.005184242	0
0.625	5.711371	5.706724	0.004647031	0
0.75	5.710732	5.706482	0.004250731	0
0.875	5.710241	5.706296	0.003944495	0
1	5.709846	5.706148	0.003698275	0
1.25	5.709237	5.705915	0.003321575	0
1.5	5.708778	5.705733	0.003045013	0
1.75	5.708411	5.705579	0.002831627	0
2	5.708105	5.705444	0.002660333	0
2.375	5.707721	5.705263	0.002457141	0
2.75	5.707397	5.705099	0.002298517	0
3.125	5.707115	5.704945	0.002170037	0
3.5	5.70686	5.704797	0.002063685	0
4.25	5.706413	5.704516	0.001896976	0
5	5.706019	5.704248	0.001771645	0
5.00005	5.706018977	0	0.001771639	0
6.25	5.705434	0	0.001618913	0
7.5	5.704902	0	0.001509666	0
8.75	5.704403	0	0.001427759	0
10	5.703928	0	0.00136419	0
12.5	5.703019	0	0.001272627	0
15	5.702149	0	0.001211382	0
17.5	5.701301	0	0.001169188	0
20	5.700471	0	0.001139864	0
23.75	5.699246	0	0.001112476	0
27.5	5.698042	0	0.001099053	0
31.25	5.696854	0	0.001095536	0
35	5.695677	0	0.001099583	0
42.5	5.693356	0	0.001124846	0
50	5.691071	0	0.001167961	0
62.5	5.687336	0	0.001271975	0
75	5.683691	0	0.001413306	0
87.5	5.680143	0	0.001594262	0
100	5.676701	0	0.0018212	0
112.5	5.673385	0	0.002104483	0
125	5.670219	0	0.00245935	0
131.25	5.668703	0	0.002670192	0
137.5	5.667241	0	0.002908174	0
143.75	5.665841	0	0.003177519	0
150	5.66451	0	0.00348358	0
156.25	5.663262	0	0.003832916	0
162.5	5.66211	0	0.004233638	0
168.75	5.661072	0	0.004695855	0
175	5.660172	0	0.005232293	0
181.25	5.659437	0	0.005859133	0
187.5	5.658906	0	0.006597204	0
193.75	5.658628	0	0.007473659	0
200	5.65867	0	0.008524443	0
205.5115	5.659056	0	0.009642346	0
211.0229	5.659853	0	0.01098479	0
216.5343	5.661163	0	0.0126065	0
219.29	5.661952	0	0.01349035	0
222.0457	5.663005	0	0.01451775	0
227.5571	5.66582	0	0.0169567	0
233.0685	5.669807	0	0.02002953	0
235.8242	5.672362	0	0.02186773	0
238.5799	5.675376	0	0.02395385	0
241.3356	5.678941	0	0.02633512	0
244.0913	5.683187	0	0.02908127	0
247.4376	5.689495	0	0.03303194	0
250.7838	5.697379	0	0.03782218	0
254.13	5.707313	0	0.04370281	0
257.4762	5.719964	0	0.05102442	0
259.1493	5.727504	0	0.05532823	0
260.8224	5.736291	0	0.06029101	0
262.4955	5.745982	0	0.06573102	0
264.1686	5.757135	0	0.07194128	0
265.8417	5.770248	0	0.07918387	0
267.5148	5.785505	0	0.08755307	0
269.1879	5.803377	0	0.09729524	0
270.861	5.824474	0	0.1087278	0
272.6326	5.851234	0	0.1231482	0
274.4041	5.883794	0	0.140601	0
276.1756	5.923865	0	0.1619743	0
277.0614	5.94715	0	0.174356	0
277.9471	5.973817	0	0.1884994	0
278.8329	6.003199	0	0.2040558	0
279.7187	6.037071	0	0.2219488	0
280.6045	6.075096	0	0.2420001	0
281.4902	6.11859	0	0.2648933	0
282.376	6.167496	0	0.2905961	0
283.2617	6.225194	0	0.3208608	0
284.1475	6.292492	0	0.3561026	0
285.0332	6.371519	0	0.397421	0
285.9682	6.470867	0	0.4492819	0
286.9032	6.591015	0	0.5119033	0
287.8382	6.738145	0	0.5884727	0
288.7731	6.920907	0	0.6834482	0
289.7081	7.151816	0	0.8032759	0
290.1756	7.290787	0	0.8753215	0
290.6431	7.44912	0	0.9573498	0
291.1106	7.629586	0	1.050787	0
291.5781	7.836563	0	1.157884	0
292.0456	8.078895	0	1.283192	0
292.513	8.364017	0	1.430531	0
293.0051	8.720965	0	1.614869	0
293.4972	9.151764	0	1.837201	0
293.9893	9.67828	0	2.108759	0
294.4814	10.33116	0	2.445275	0
294.9735	11.15434	0	2.86931	0
295.2196	11.64886	0	3.123929	0
295.4656	12.21158	0	3.413574	0
295.7117	12.85553	0	3.744929	0
295.9577	13.59661	0	4.12615	0
296.2037	14.45746	0	4.568848	0
296.4497	15.46758	0	5.088147	0
296.7204	16.79657	0	5.771158	0
296.9911	18.41729	0	6.603818	0
297.2618	20.4212	0	7.633	0
297.5324	22.93922	0	8.925784	0
297.6678	24.44997	0	9.701235	0
297.8031	26.16818	0	10.58302	0
297.9384	28.1355	0	11.59248	0
298.0737	30.4032	0	12.75587	0
298.2091	33.0392	0	14.10798	0
298.3444	36.12572	0	15.6909	0
298.4797	39.77922	0	17.56428	0
298.615	44.15541	0	19.80782	0
298.7504	49.47479	0	22.53442	0
298.8857	56.03823	0	25.89807	0
299.021	64.30575	0	30.13423	0
299.0887	69.2888	0	32.68709	0
299.1563	74.9821	0	35.60353	0
299.224	81.55943	0	38.97246	0
299.2916	89.20357	0	42.8874	0
299.3593	98.20017	0	47.49447	0
299.4269	108.8639	0	52.95465	0
299.4946	121.6699	0	59.51098	0
299.5622	137.1504	0	67.43566	0
299.6299	156.078	0	77.12388	0
299.6975	179.3041	0	89.01099	0
299.7714	210.9538	0	105.2075	0
299.8083	229.7163	0	114.8083	0
299.8452	250.7659	0	125.5789	0
299.8821	274.3584	0	137.6499	0
299.919	300.7606	0	151.1579	0
299.9559	330.2457	0	166.2425	0
299.9928	363.0876	0	183.0436	0
300.0666	439.8942	0	222.3334	0
300.1404	533.0641	0	269.9898	0
300.2142	643.8733	0	326.6643	0
300.288	772.5862	0	392.4908	0
300.3864	969.8021	0	493.342	0
300.4848	1188.853	0	605.3471	0
300.6816	1631.635	0	831.7055	0
300.7612	1782.801	0	908.9618	0
300.8408	1900.629	0	969.1618	0
300.9204	1975.497	0	1007.387	0
301	2001.014	0	1020.372	0
301.0793	1975.161	0	1007.089	0
301.1586	1900.4	0	968.7996	0
301.2379	1783.103	0	908.7657	0
301.3171	1633.007	0	831.9681	0
301.5113	1197.123	0	609.0087	0
301.6084	980.79	0	498.3737	0
301.7054	785.3609	0	398.4399	0
301.7904	637.2762	0	322.7231	0
301.8329	572.0865	0	289.3933	0
301.8753	512.9512	0	259.1604	0
301.9178	459.4419	0	231.805	0
301.9602	411.5622	0	207.3287	0
302.0027	368.7629	0	185.4506	0
302.0451	330.8733	0	166.0832	0
302.0876	297.3117	0	148.929	0
302.1301	267.7577	0	133.8239	0
302.1726	241.7986	0	120.5571	0
302.215	219.0864	0	108.9502	0
302.2575	199.1386	0	98.75676	0
302.2999	181.7027	0	89.84742	0
302.3424	166.3797	0	82.01827	0
302.3848	152.9582	0	75.16115	0
302.4576	133.5493	0	65.24588	0
302.5304	117.8398	0	57.22154	0
302.6032	104.9951	0	50.66131	0
302.676	94.37355	0	45.23718	0
302.7488	85.48769	0	40.69997	0
302.8216	77.96921	0	36.86141	0
302.8944	71.53995	0	33.57932	0
302.9672	65.98883	0	30.74583	0
303.04	61.15435	0	28.2784	0
303.1128	56.91161	0	26.11321	0
303.2584	49.83034	0	22.49999	0
303.404	44.17682	0	19.61584	0
303.5495	39.58037	0	17.2714	0
303.683	36.06944	0	15.48096	0
303.8165	33.08858	0	13.9611	0
303.95	30.53339	0	12.65848	0
304.0834	28.32642	0	11.53358	0
304.2169	26.40351	0	10.55362	0
304.3503	24.71984	0	9.695727	0
304.6172	21.92012	0	8.269502	0
304.8842	19.70095	0	7.139388	0
305.1511	17.91249	0	6.22891	0
305.418	16.44946	0	5.484342	0
305.6849	15.23781	0	4.867911	0
305.9397	14.26501	0	4.373151	0
306.1945	13.43431	0	3.95079	0
306.4493	12.71783	0	3.586618	0
306.7041	12.09527	0	3.270276	0
306.9589	11.55132	0	2.993961	0
307.2137	11.07361	0	2.751377	0
307.7232	10.27795	0	2.347509	0
308.2328	9.645908	0	2.026896	0
308.7423	9.135521	0	1.768157	0
309.2519	8.717174	0	1.556213	0
309.7614	8.370124	0	1.380502	0
310.2468	8.092408	0	1.239986	0
310.7321	7.856779	0	1.120842	0
311.2174	7.652797	0	1.017763	0
311.7027	7.474704	0	0.9278217	0
312.188	7.319079	0	0.8492775	0
312.6733	7.182481	0	0.7803811	0
313.6439	6.954856	0	0.6656868	0
314.6145	6.774037	0	0.5747013	0
315.5851	6.62795	0	0.5012957	0
316.5557	6.508181	0	0.4412021	0
317.5263	6.408734	0	0.3913803	0
318.4484	6.329083	0	0.3515359	0
319.3705	6.261082	0	0.3175713	0
320.2926	6.203559	0	0.2888912	0
321.2146	6.152438	0	0.2634376	0
323.0588	6.068444	0	0.2217193	0
324.9029	6.003038	0	0.1893516	0
326.7471	5.950928	0	0.1636626	0
328.5912	5.908615	0	0.1428881	0
330.4353	5.87377	0	0.1258549	0
332.2794	5.844764	0	0.111743	0
333.6383	5.8264	0	0.102848	0
334.9971	5.810125	0	0.09499534	0
337.7148	5.782604	0	0.08179677	0
340.4325	5.760762	0	0.07142398	0
341.7914	5.750826	0	0.06672691	0
343.1502	5.742349	0	0.06275336	0
345.8679	5.72695	0	0.05557654	0
348.5856	5.713927	0	0.0495749	0
351.3033	5.702811	0	0.04451531	0
354.021	5.693256	0	0.04022434	0
356.9329	5.684402	0	0.03630732	0
359.8447	5.676695	0	0.03295242	0
362.7565	5.669922	0	0.03005471	0
365.6683	5.663919	0	0.02753309	0
368.5801	5.658559	0	0.02532418	0
371.4919	5.653738	0	0.02337778	0
374.4037	5.649376	0	0.02165362	0
377.3155	5.645494	0	0.02016165	0
383.1392	5.638479	0	0.0175386	0
388.9628	5.6325	0	0.01541305	0
394.7864	5.627315	0	0.01366705	0
400.61	5.622753	0	0.01221647	0
406.8219	5.618419	0	0.0109214	0
413.0338	5.614521	0	0.00983066	0
